english,hassaniya-ar,hassaniya-en
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,النص الثاني من حياة ارگاج يتكون من الطبايع لي اكتسب من النص لول,nes thani mn 7eyat 2eregaj yetkewen mn 6ebaye3 li kteseb mn nes lewel
Stand at ease!,استراح,2stra7
"Hurry up, or you'll be late for school.",اعجل و الل لهي تتاخر عن المدرسه,23ajel wll lehi tit25r 3n lmedrasse
I woke you up.,نقستك؟,na9astak?
Are you happy?,انت فرحان؟,nte ver7an?
Can you drive a car?,اتگد اتحرك؟,tged t7erek?
But fun is not enough.,يكون اللهو ماه كافي,Yekoun lehou mahou kavi
Can we run now?,انگد نجرو ظرك؟,Ngedu nejrou 8erk?
You had better go.,اشبهلك تمشي,chbehlek temchi
Shut the door.,اگفل الباب,egval lbab
"Hurry up, or we'll miss the train.",اعجل و الل لاه يفوتك گارب السبت,23jel wll lahi yvoutk garb 2sibt
You look very tired.,اتبان تعبان حت,tban te3ban 7ete
The man turned out to be a private detective.,الراجل عگب عاد جاسوس,rajel 3gueb 3ad jasos
What do you call this bird in English?,ذا الطير اسمو بالانگلبزيه؟,4e 6eyr esmou b lingliziye ?
Ask her when he will come back.,سولها اينت لاهي يرجع,Sewelhe 2ente lahi yarje3
Did you receive the letter?,جاتك لبراوة؟,jatak lebrawa?
January is the first month of the year.,جانفيي هو اول اشهر في السنه,janvier houwe ewl chhar vi sene 
Who painted these pictures?,من رسم هاذو اللوحات؟,mn rassem ha4ou lew7at
When is your birthday?,عيد ميلادك اينت؟,3iyd miyladek 2eynte?
You have to get this work finished by noon.,يالتك اتوفي ذي الشقلة سابگ الظهر,yaltek twevi 4i che9le sabeg 8eher
One of my bags is missing.,واحد من الصكات واغد,wa7ed mn sakat waghed
I will gladly help you.,لاه نعود فرحان لايعانتك,lahi n3oud var7an ly3antk
Here is your bag.,اراعي صكك,2era3i sekek
Why is he angry about something like that?,لاش يفگعو شي ذ نبتو؟,lach yevg3ou chi 4e nebtou
"Judging from the look of the sky, it is going to snow.",باين من السماء ان گلاص لهي يطايح,bayn mn sme in glass lehi yi6ay7
What made them mad?,ذ الفاگعهم شنه؟,4e lvagu3ehoum chenhou
You're looking down.,انت تبان مانك متمونك ,Nte tban manek metmownek
What did you buy?,ششريت,chichreyt
You are made to be a poet.,اخلگت اياك اتعود شاعر,5leget yak t3oud cha3er
How big is it?,حجمها شنهو,7ajmhe chinhou
I don't agree with you.,ماني متوافق امعاك فأراي,mani metwave9 m3ak veray
One of the suitcases is completely empty.,وحدة من الفاليزات كان ما فيها شي,wa7da mn lvalisat kan maviha chi
Terrific!,ماه عادي ! ,maho 3adi!
That doesn't even make sense.,هذا ما يشرب العقل,ha4a ma yechrbou le39al
Please fill out this form first.,حگلل امل ذي افورميلير,7agll 2mla 4i formulaire
Prices are high these days.,الاسعار ذا الزمن مرتفعه,les3ar 4e zemen mirtev3a
He knows ten languages.,هو يعرف اعشر لقات,Houwe ye3rev 2e3cher lou9at
You are nothing but a student.,انت الا حدك تلميدي,nte la 7edek telmiydi
Most people think so.,ياسر من الناس جاد عليهم ذاك,yasser mn nass jad 3lihoum 4ak
His son was expelled from school.,ولو نصاع من المدرسة,wellou nsa3 mn lmedrassa
I'm at a loss for words.,ماجبرت شي گايلو,majbert chi gayelou
Maryem seems to be bored with the game.,ايبان مريم ملت من هذي اللعبه,2yban maryem mellet men ha4i li3be
Omar has many friends.,عمر اصحابو ياسرين,3omar es7abou yassrin
I was happy yesterday.,كنت فرحان يامس,Kent ver7an yames
You're right.,ذاك ثابت,4ak thabet
I want to go with you.,نبغي نمشي معاك,nibghi nimchi m3ak 
Pigs share certain characteristics with human beings.,عرات يشتركو مع ارواگيج فشي من الامور,3arat yechtarkou m3a arwaguij v chi men loumour
We stood at the door and waited.,وگفنا عند الباب و حنينا,wgvne 3nd lbab w 7aneyne 
The song reminds me of my young days.,هذا الهول يفكدني بالسغر,ha4a lhewl yveguedni b seghr
The English ambassador demanded to meet with the President directly.,السفير لابريطاني اطلب جبار مباشر مع الرئيس,sevir libri6ani 6lb jbar moubachr m3a ra2iss
How far is it from here to the museum?,المتحف كم من هون؟,lmet7av kem mn hown
I saw him go out.,شفتو واخظ,chevtou wa5e8
Please drive carefully.,حگل حرك بالشور,7aglla 7arak bechour
selma has long hair.,سلمى راصه اطويل,selma rashe 6wil
Have you finished your homework already?,وفيت واجبك بذي السرعه؟ ,waffeyt wajebk b4i sor3a?
Vadhel has his father's eyes.,فاضل عينيه كيف عينين والدو,Vadhel 3aynih kiv 3aynin waldou
See you then.,ايو نشوفك,eywe nchovak
It cannot be completely cured.,ما اتل يگد يعالج ابدا,ma tle ygid you3alge ebdn
I was expecting it!,كنت متوقعتو,kent metwe9e3tou
"No, thank you.",نو ، يجازيك بالخير,"no, yjazik bil-5eir"
Fadil went blind.,فاضل اعمى,Fadil 3me
Where are you going?,انت منين واعد؟,Nte mneyn wa3ed?
Thanks for your explanation.,گار في الشرح لي عدلتلي,gar viye chere7 li 3edeletli
The committee consists of twelve members.,اللجنة تتكون من اثنعشر رگاج,Lejne ttkewn mn thna3char regaj
The baby cried itself to sleep.,الطفيل بكى لين رگد,6feyl bke leyn rgued
The man spoke in a low voice.,الراجل تكلم اتحت,rajel tkelm ta7t
Nobody was home.,الدار ما كان فيها حد,dar makan vihe 7ad
"Good morning, everybody.",صباح الخير كاملين,sba7 l5ayr kamlin
That's really great!,هذا ماه معقول !,ha4a maho ma39oul!
I have lost my wallet.,وقدت كالبتي,we9edet kalebti
I can only wait.,ما عند ماه اتحاني,ma 3endi mahou t7ani
Each has his own taste.,كل حد ذوقو,kl 7ad 4ew9o
What time do you usually go to bed?,اينت ترگد؟,2eynte terged?
There are seven days in a week.,السبوع فيه اسبعت ايام,sbou3 vih sb3teyam
The bus leaves in five minutes.,"البيس لاهي يگيم, فيه اخمس دقائق","elbus lahi ygueym,  vih 5mes da9ay9"
You should rest after exercise.,يالل تستراح ورى الرياضه,yall tistra7 wre riyade
Are you at home?,أنت فالدار؟,enta v dar?
The driver accelerated his car.,الشوفير اكسليرا وتو,chouffeur accelera wetou 
School starts in September in Europe.,لگرايه تبدأ ف اوروبا سبتمبر,ligraye tebde2 v europa september 
"Give me your opinion, please.",اعطيني ارايك حگل,36ini rayak 7agalla
The doctor advised me to give up smoking.,الطبيب انصحني نوف من الكمي,6abib nsa7ni newve mn lkemi
Aziz is a student.,عزيز تلميدي,3aziz telmidi
The old man spoke to me in French.,الشيباني تكلملي بالفرنسية,cheybani tkelmli b lvaransiye
Let's carry on the discussion.,خلينا نكملو كلامنا,5aline nkemlou klamne
"Make haste, or you will be late.",اعجل و الل لهي تتأخر ,23jel wll lehi tit25r
Give me a definite answer.,گولي الا شي مغرش عليه,gouli ela chi mgharach 3lih
Are you not able to speak English?,ما تعرف الكلام بالانجليزية؟,ma ta3rav leklam b lengliziye?
Who cares?,ذ ماه مهم,4e maho mouhim
Let's play cards.,عطينا نلعبو مارياس,36ina nel3bou maryass
She is Mariem .,اسمه مريم ,2esemhe Mariam 
I see it rarely.,نادر نجبره,nader nejberhe
You must keep your room clean.,يالتك اتخلي بيتك مصگول,yaletek t5eli beytek mesgoul
Cheikh was broken-hearted.,الشيخ ماه متمونك,Chei5 maho metmownek
It's your book.,هذا كتابك,ha4a ktabak
I wish you'd told me before.,اگبيل تعود علمتني سابك ظرك,egbeyl t3od 3alemtni sabg 8ark
"All of a sudden, I remembered that I couldn't pay for so many books.",تميت ايلين تفگدت اني ما عندي صوگ ياسر من الكتوب,temeyt eyelen tveguedt eni ma3andi sog yasser mn lktob
The economy of the island is dependent on the fishing industry.,هاذي الجزيرة اقتصادها قايم على الصيد,ha4i ljezira e9tisadha 9aym 3le sayd
You can put it anywhere.,تگد ديرها فأي بلد,tgued dirha v ey bled
Barking dogs seldom bite.,لكلاب النباحه نادر فيها العظ,leklab neba7a nadr vihe 2l3a8 
"At last, we arrived at the village.",كيفنا جينا للبادية,keyvna jeyna lel badiya
Stop the car.,وگف الوته ,Wegev lwete 
I think we should do some more.,ظاهرلي انا يالل نزيدو,4aherli 2na yall nziidou
"Look at the blackboard, everyone.",خرصو السبوره كاملين,5arsou seboura kamlin
"One lump of sugar, please.",سكراية وحده حگلل,sekraye wa7de 7gll
There's no doubt.,مافم شك,mavem chek
"I'm not stupid, am I?",انا ماني ازويگل، امالها حگ؟,"2ne mani 2zwygl ,2malhe 7g?"
Look out! There's a truck coming!,عسك ، فيه رمرك جايه,3issk vih remark jaye
People that don't think Hassaniya is the most beautiful language understand nothing.,حد كامل شاك عن الحسانية ماهي أشبه لهجة ما يفاصل شي ,7ad kamel chak 3n l7assaniye mahi echbeh lehja ma yvassel chi
"Yes, Ali helped me.",اهيه عاون علي,eheh 3awen 3li
I don't like to cook when it's hot outside.,ما نبغي ننصب في الحمان,manibghi ninsib vi l7iman
It's not my fault!,ذاك ماه غلطي,4ak mahu 9ele6i
I love that question.,نبغي ذا السؤال,nibghi 4e sou2al
Can I stay at your place? I have nowhere to go.,انگد نبگ افدارك؟ ماعند ابليد گايسه,nged nebge 2evdarek? ma3endi bleyde gayeshe
Do you play tennis?,انت تلعب التنس؟,enta tal3ab tennis?
I don't speak Japanese.,انا ما نتكلم اليابانية,2ane ma netkelem lyabaniye
Aaah!! My computer is broken!,"ااااه, اخسر ابيسيه","aaah, 5ser pc hi"
Betty likes classical music.,بتي تبغي الهول الكلاسيكي,Betty tebghi el hewl el classiqui
Did you actually see the accident?,شفت الحادث حگ؟,chevt l7adeth 7eg?
Some snakes are poisonous.,شي من الحنوشة سام,chi men le7noucha sam
It's so painful. Stop it!,هذا حر، وگف,ha4e 7r wegev
Good night. Sweet dreams.,تبات اعل خير,tbat 3le 5er
I'm a free man.,انا راجل حر,ane rajl 7r
"Little by little, you will notice improvement in your writings.","شوي شوي, دور تفطن لكتبتك تزيان","chwey chwey, dour tev6en 2lketebtek tezyan"
Why did you quit?,لاش نگزت؟,lach neguezt?
The train hasn't arrived yet.,گارب السبت ما فات جا,garb sbt mavat je
Tell me why you want to go there.,گولي لاش تبغي تمشي الهيه؟,gouli lach tebghi temchi lheyh
"Even if I were rich, I wouldn't give money to him.",حت لو كنت بطرون ما كنت لاهي نعطيه أوگية,7atta loukent ba6roun ma kent lehu na36ih ouguiya
Do you have anything to say?,عندك شي لاهي تگولو؟,3andek chi lahi tgoulo?
Why me?,لاش انا؟,lach ane?
It's for a friend of mine.,هذا ال صاحب عندي,ha4a el sa7b 3andi
I have a daughter who's married to a Frenchman.,عندي منت شادها فرنسي,3andi ment chadeha varansi
Who is the man playing the piano?,ذوك الراجل اللي يخبط بيانو منه؟,4ok rajel eli ya5ba6 piano menhou?
"Because it was summer vacation, I took a trip.",بما انها كانت الراحة، عدلت جوله,"binhe kant ra7a , 3adelt jewle"
"Show me a cheaper one, please.",نعت لي شي اهون من ذا ,36ini chi 2hwen mn 4e
That is why I came here.,ذاكو الجايبني هون,4akou el jaybni hown
Did somebody mention my name?,عيطلي حد؟,3ay6li 7ad?
It's very good.,هذا زين حت,ha4a zeyn 7atte
Do you know when the musician will come here?,تعرف لي اينت تيگيوت لهي اتجي  ,t3rv li inte tigiwit Lehi tji?
"And if you see Aziz, say hello to him for me.",ايلا ريت عزيز سلملي عليه,eyla rayt 3aziz selemli 3lih
You're just running away from life's problems.,انت الا امصرمك راصك عن أشقاب الدنيا,2nte 2la 2msermek rasek 3en ch9ab 2denye
This is always the way it has been.,هذا لا هو حال لمور دائما,he4a la houwe 7al lumour daymen
Aziz is a friend of mine.,عزيز صاحبي,3aziz sa7bi
Are you writing a letter?,انت تكتب رسالة؟,nte tekteb risale?
Which bed do you want to use?,تبق ترگد اعل اي متك؟,teb9i terged 3le 2ey metke?
You should make sure of the facts before you write something.,من سابگ تكتب اي شي ، يالل تتأكد من صحتو,"mn sabg tktb ey chi, y7all tt2ked mn si7tou"
He does not smoke.,هو ما يكمي,Houwe ma yekmi 
You are too sensitive to noise.,انت مانك حامل لصوات,nte manek 7amel leswat
I am curious.,گابظني لغب,gabe8ni leghbe
"Pardon me, can you repeat that?",اسمحلي ادگد حگل اتعل؟,Sme7li dged 7egele t3el?
New York is a big city.,نيويورك دشرة كبيرة,New york dachra kbira
Thank you for the information.,شاكرتك على المعلومه,chakrtk 3le 4i lma3lume 
I want to know who is coming with us.,اندور نعرف من لاهي ايجي امعانا,ndour ne3rev men lahi yji m3ane
Bring him to me.,جيبوه لي,Jiybouh li
"Which is heavier, lead or gold?",ايهم اثگل، الذهب و الل الرصاص,"eyhoum ethgel , 4hb wll rassas"
Why don't you come visit us?,مالك مادجين؟,malek madjine?
What would he know?,اشلهي يعرف؟ ,chlehi ya3rv?
"Yes, I am from Nouadhibou.",اهيه انا من نواذيبو,eheh ena mn Nouadhibou
I don't have any evidence.,ما عند اي دليل,Ma3endi 2ey delil 
Layla thanked Sami for the flowers.,ليلى شكرت سامي على فلير,leyla chakret sami 3le fleyr
You took the wrong key.,ذلي اگبظت ماه المفتاح لي يالتك تگبظ,4eli gbe8et mahu lmouvta7 lyaltek tegbe8
I think you'd better take a rest; you look ill.,عندينك اشبهلك تستراح. اتبان مريض,3endiynek chbehlek testra. tban meriyd
